Percent_para,t1_para,t2_para
0,295.271478,277.107609
0.526315789,299.2237521,288.2031053
1.052631579,296.5365883,288.7513427
1.578947368,294.8567393,289.1971589
2.105263158,293.503656,289.5668285
2.631578947,292.3282655,289.8766303
3.157894737,291.2682238,290.1374869
3.684210526,290.290523,290.357154
4.210526316,289.3752248,290.5413761
4.736842105,288.5092082,290.6945501
5.263157895,287.6832996,290.8201307
5.789473684,286.8907891,290.9208913
6.315789474,286.1265926,290.9990982
6.842105263,285.3867491,291.056631
7.368421053,284.6680999,291.0950693
7.894736842,283.9680779,291.1157547
8.421052632,283.2845621,291.1198377
8.947368421,282.6157758,291.1083135
9.473684211,281.9602121,291.0820489
10,281.3165792,291.041804
10.52631579,280.6837594,290.9882487
11.05263158,280.0607772,290.921977
11.57894737,279.4467748,290.8435173
12.10526316,278.8409925,290.7533416
12.63157895,278.2427533,290.6518731
13.15789474,277.6514504,290.5394921
13.68421053,277.066537,290.4165411
14.21052632,276.4875178,290.2833294
14.73684211,275.9139422,290.1401364
15.26315789,275.3453984,289.9872148
15.78947368,274.7815085,289.8247936
16.31578947,274.2219244,289.6530795
16.84210526,273.6663239,289.4722599
17.36842105,273.1144084,289.2825036
17.89473684,272.5658995,289.0839629
18.42105263,272.0205371,288.8767745
18.94736842,271.4780775,288.6610605
19.47368421,270.9382913,288.4369295
20,270.4009622,288.2044774
20.52631579,269.8658853,287.9637876
21.05263158,269.332866,287.7149323
21.57894737,268.8017191,287.457972
22.10526316,268.2722676,287.1929566
22.63157895,267.7443416,286.9199255
23.15789474,267.2177778,286.6389073
23.68421053,266.6924187,286.3499208
24.21052632,266.1681115,286.0529739
24.73684211,265.6447079,285.7480646
25.26315789,265.1220633,285.4351804
25.78947368,264.6000359,285.1142979
26.31578947,264.0784864,284.7853829
26.84210526,263.5572774,284.44839
27.36842105,263.0362727,284.1032619
27.89473684,262.5153368,283.7499289
28.42105263,261.9943343,283.3883085
28.94736842,261.4731289,283.0183044
29.47368421,260.9515835,282.6398055
30,260.4295589,282.252685
30.52631579,259.9069132,281.856799
31.05263158,259.3835012,281.4519853
31.57894737,258.8591732,281.0380612
32.10526316,258.3337745,280.6148221
32.63157895,257.8071438,280.1820389
33.15789474,257.2791122,279.7394552
33.68421053,256.7495018,279.2867842
34.21052632,256.2181242,278.8237054
34.73684211,255.6847785,278.3498594
35.26315789,255.149249,277.8648434
35.78947368,254.6113027,277.3682043
36.31578947,254.0706865,276.8594315
36.84210526,253.5271228,276.3379478
37.36842105,252.9803056,275.8030974
37.89473684,252.4298946,275.2541329
38.42105263,251.8755082,274.690197
38.94736842,251.3167147,274.1103009
39.47368421,250.7530213,273.5132959
40,250.1838593,272.8978368
40.52631579,249.6085651,272.2623332
41.05263158,249.0263542,271.6048845
41.57894737,248.4362859,270.9231896
42.10526316,247.8372134,270.2144215
42.63157895,247.2277114,269.475043
43.15789474,246.6059677,268.7005316
43.68421053,245.9696132,267.8849487
44.21052632,245.315442,267.020229
44.73684211,244.6389197,266.0949306
45.26315789,243.9332399,265.0918392
45.78947368,243.1872892,263.9827952
46.31578947,242.3804015,262.715356
46.84210526,241.4639967,261.166091
47.36842105,240.2187471,258.7770749
47.89473684,242.912661,266.2781578
48.42105263,244.1646284,270.0262775
48.94736842,245.1128548,272.9329618
49.47368421,245.9111877,275.3962239
50,246.6193932,277.5727884
50.52631579,247.2678431,279.5436884
51.05263158,247.874286,281.3572942
51.57894737,248.450029,283.045213
52.10526316,249.002708,284.6294308
52.63157895,249.5376979,286.1259581
53.15789474,250.0588981,287.5468695
53.68421053,250.5692023,288.9015245
54.21052632,251.0707938,290.1973402
54.73684211,251.5653399,291.4403013
55.26315789,252.0541243,292.6353088
55.78947368,252.5381402,293.7864267
56.31578947,253.0181572,294.8970596
56.84210526,253.4947706,295.9700848
57.36842105,253.9684383,297.0079515
57.89473684,254.4395093,298.012757
58.42105263,254.9082452,298.9863065
58.94736842,255.3748379,299.9301594
59.47368421,255.8394228,300.8456673
60,256.30209,301.7340038
60.52631579,256.7628936,302.5961896
61.05263158,257.2218584,303.4331129
61.57894737,257.6789864,304.2455459
62.10526316,258.134262,305.0341595
62.63157895,258.5876559,305.7995353
63.15789474,259.0391288,306.5421751
63.68421053,259.4886348,307.2625108
64.21052632,259.9361238,307.9609107
64.73684211,260.3815435,308.637687
65.26315789,260.8248422,309.293101
65.78947368,261.2659695,309.927368
66.31578947,261.7048786,310.5406621
66.84210526,262.1415271,311.1331197
67.36842105,262.5758788,311.7048429
67.89473684,263.0079037,312.2559028
68.42105263,263.4375801,312.7863421
68.94736842,263.8648944,313.2961774
69.47368421,264.2898426,313.7854016
70,264.7124302,314.2539855
70.52631579,265.1326736,314.7018799
71.05263158,265.5506001,315.1290165
71.57894737,265.9662483,315.5353102
72.10526316,266.379669,315.9206593
72.63157895,266.7909255,316.2849469
73.15789474,267.2000935,316.6280421
73.68421053,267.6072621,316.9498001
74.21052632,268.0125341,317.2500631
74.73684211,268.4160261,317.5286609
75.26315789,268.8178687,317.7854106
75.78947368,269.2182078,318.0201174
76.31578947,269.617204,318.2325742
76.84210526,270.0150336,318.4225612
77.36842105,270.4118891,318.5898463
77.89473684,270.8079794,318.734184
78.42105263,271.2035307,318.8553147
78.94736842,271.5987873,318.9529642
79.47368421,271.9940119,319.0268422
80,272.389487,319.0766415
80.52631579,272.7855156,319.1020358
81.05263158,273.1824223,319.1026782
81.57894737,273.5805551,319.0781992
82.10526316,273.9802862,319.0282036
82.63157895,274.3820144,318.9522684
83.15789474,274.7861668,318.8499387
83.68421053,275.1932014,318.7207241
84.21052632,275.6036096,318.5640945
84.73684211,276.0179198,318.3794743
85.26315789,276.4367007,318.1662368
85.78947368,276.8605663,317.9236972
86.31578947,277.2901806,317.6511042
86.84210526,277.7262643,317.3476303
87.36842105,278.1696017,317.0123609
87.89473684,278.6210501,316.6442806
88.42105263,279.0815502,316.242257
88.94736842,279.552139,315.8050218
89.47368421,280.0339658,315.3311473
90,280.5283118,314.8190178
90.52631579,281.0366145,314.2667945
91.05263158,281.5604985,313.6723718
91.57894737,282.1018147,313.0333219
92.10526316,282.6626909,312.3468239
92.63157895,283.2455986,311.6095723
93.15789474,283.8534419,310.8176562
93.68421053,284.4896791,309.9663967
94.21052632,285.1584916,309.0501247
94.73684211,285.8650275,308.0618673
95.26315789,286.6157615,306.9928958
95.78947368,287.4190491,305.8320473
96.31578947,288.2860223,304.5646692
96.84210526,289.2321239,303.1708871
97.36842105,290.2799493,301.62258
97.89473684,291.4650869,299.8776367
98.42105263,292.8500817,297.8677286
98.94736842,294.5669772,295.4674769
99.47368421,297.0292122,292.3909953
100,295.271478,277.107609
